price,bedrooms,bathrooms,floorsize,address
"$843,900",2 bds,3 ba,"1,351 sqft","2045 Beloit Ave APT 303, Los Angeles, CA 90025"
"$303,900",2 bds,1 ba,861 sqft,"2765 Terrace Pine Dr UNIT A, San Diego, CA 92173"
"$824,900",2 bds,2 ba,"1,324 sqft","12130 Ohio Ave APT 102, Los Angeles, CA 90025"
"$637,900",3 bds,2 ba,"1,242 sqft","930 Via Mil Cumbres UNIT 27, Solana Beach, CA 92075"
"$319,900",1 bd,1 ba,609 sqft,"4185 Louisiana St APT 3, San Diego, CA 92104"
"$494,900",1 bd,1 ba,604 sqft,"968 Larrabee St APT 116, West Hollywood, CA 90069"
"$498,900",2 bds,2 ba,976 sqft,"8120 E Venice Way, Anaheim, CA 92808"
"$338,900",2 bds,2 ba,915 sqft,"2450 San Gabriel Way UNIT 206, Corona, CA 92882"
"$524,900",3 bds,3 ba,"1,256 sqft","28411 Boulder Dr, Trabuco Canyon, CA 92679"
"$419,900",3 bds,2 ba,"1,052 sqft","212 S Kraemer Blvd UNIT 610, Placentia, CA 92870"
"$260,900",1 bd,1 ba,758 sqft,"10001 Woodcreek Oaks Blvd UNIT 1613, Roseville, CA 95747"
"$554,900",2 bds,2 ba,"1,357 sqft","7916 E Christopher Ct, Anaheim, CA 92808"
"$359,900",2 bds,1 ba,678 sqft,"2840 C St UNIT 3, San Diego, CA 92102"
"$404,900",1 bd,1 ba,716 sqft,"215 Wichita Ave APT 402, Huntington Beach, CA 92648"
"$605,300",2 bds,3 ba,"1,324 sqft","1003 Terra Bella, Irvine, CA 92602"
"$387,900",3 bds,2 ba,"1,014 sqft","1000 S Mollison Ave UNIT 13, El Cajon, CA 92020"
"$605,900",1 bd,1 ba,623 sqft,"13200 Pacific Promenade APT 219, Playa Vista, CA 90094"
"$250,000",2 bds,3 ba,"1,736 sqft","2222 S Mesa St UNIT 21, Los Angeles, CA 90731"
"$399,449",2 bds,1 ba,852 sqft,"501 Beale St UNIT 11F, San Francisco, CA 94105"
"$342,900",1 bd,1 ba,816 sqft,"24505 Town Center Dr #7214, Santa Clarita, CA 91355"
"$368,008",2 bds,2 ba,"1,196 sqft","248 Lauren Ct, San Francisco, CA 94134"
"$450,000",2 bds,2 ba,"1,112 sqft","25939 Stafford Canyon Rd UNIT E, Stevenson Ranch, CA 91381"
"$499,000",3 bds,2 ba,"1,353 sqft","7625 Reseda Blvd UNIT 302, Los Angeles, CA 91335"
"$380,000",3 bds,2 ba,"1,272 sqft","4791 Lago Dr APT 103, Huntington Beach, CA 92649"
"$380,000",2 bds,2 ba,818 sqft,"7308 Corbin Ave UNIT K, Los Angeles, CA 91335"
"$499,999",2 bds,2 ba,"1,159 sqft","14 Greenfield #3, Irvine, CA 92614"
"$290,776",1 bd,1 ba,670 sqft,"246 2nd St APT 708, San Francisco, CA 94105"
"$697,900",2 bds,2 ba,"1,295 sqft","270 Cagney Ln APT 115, Newport Beach, CA 92663"
"$549,000",3 bds,2 ba,"1,260 sqft","3841 Basilone St UNIT 2, San Diego, CA 92110"
"$439,825",3 bds,2 ba,"1,182 sqft","2501 W Sunflower Ave UNIT A5, Santa Ana, CA 92704"
"$489,000",2 bds,2 ba,"1,044 sqft","4132 Campus Ave APT 1, San Diego, CA 92103"
"$469,900",2 bds,3 ba,"1,330 sqft","8166 Cobblestone Ln #20, Midway City, CA 92655"
"$374,049",2 bds,2 ba,"1,231 sqft","34112 Via Lucca, Fremont, CA 94555"
"$369,000",2 bds,2 ba,982 sqft,"1015 N Michillinda Ave APT 102, Pasadena, CA 91107"
"$169,000",2 bds,1 ba,840 sqft,"72742 Willow St UNIT 2, Palm Desert, CA 92260"
"$759,900",2 bds,2 ba,991 sqft,"10657 Wilkins Ave APT 3, Los Angeles, CA 90024"
"$149,000",2 bds,2 ba,"1,136 sqft","24055 Paseo Del Lago W #503, Laguna Woods, CA 92637"
"$399,900",1 bd,1 ba,580 sqft,"320 S Ardmore Ave APT 226, Los Angeles, CA 90020"
"$339,000",2 bds,2 ba,"1,280 sqft","4224 Tiberon Dr, Oceanside, CA 92056"
"$695,000",2 bds,2 ba,"1,375 sqft","20 Ocean Pines Ln #20, Pebble Beach, CA 93953"
"$385,000",2 bds,2 ba,"1,019 sqft","1775 Ohio Ave UNIT 209, Long Beach, CA 90804"
"$635,000",2 bds,2 ba,"1,030 sqft","75 Hemlock Ln, Santa Barbara, CA 93111"
"$353,900",2 bds,2 ba,916 sqft,"2924 Anawood Way, Spring Valley, CA 91978"
"$589,000",3 bds,3 ba,"1,267 sqft","71 Calle De Los Ninos, Rancho Santa Margarita, CA 92688"
"$388,000",2 bds,2 ba,"1,330 sqft","38397 Gazania Cir, Palm Desert, CA 92211"
"$259,000",2 bds,2 ba,"1,177 sqft","40255 Baltusrol Cir #6, Palm Desert, CA 92211"
"$499,000",3 bds,1 ba,"1,104 sqft","2920 25th St, San Francisco, CA 94110"
"$624,900",4 bds,4 ba,"1,408 sqft","105 S Marguerita Ave APT D, Alhambra, CA 91801"
"$295,000",3 bds,2 ba,"1,157 sqft","160 Gaitano Dr, Palmdale, CA 93550"
"$428,000",3 bds,2 ba,"1,431 sqft","3403 Meadow Brk #34, Costa Mesa, CA 92626"
"$385,000",2 bds,2 ba,916 sqft,"20702 El Toro Rd APT 400, Lake Forest, CA 92630"
"$460,000",3 bds,3 ba,"1,219 sqft","11539 Lower Azusa Rd UNIT D, El Monte, CA 91732"
"$379,900",2 bds,2 ba,"1,085 sqft","8892 Katella Ave #4, Anaheim, CA 92804"
"$675,000",2 bds,3 ba,"1,638 sqft","4557 Haskell Ave APT 302, Los Angeles, CA 91436"
"$388,000",3 bds,3 ba,"1,245 sqft","412 Corte Blanco, Upland, CA 91786"
"$389,000",3 bds,2 ba,"1,257 sqft","1901 W Greenleaf Ave APT B, Anaheim, CA 92801"
"$689,000",2 bds,2 ba,919 sqft,"2550 S Centinela Ave, Los Angeles, CA 90064"
"$699,000",3 bds,3 ba,"2,204 sqft","54850 Tanglewood, La Quinta, CA 92253"
"$450,000",3 bds,2 ba,"1,626 sqft","2935 Newgate Ct, Riverside, CA 92506"
"$349,000",2 bds,1 ba,910 sqft,"2010 Miramar Walk, Oxnard, CA 93035"
"$389,900",3 bds,2 ba,"1,465 sqft","10648 Pleasant Valley Cir, Stockton, CA 95209"
"$1,245,000",3 bds,3 ba,"1,885 sqft","1540 Amherst Ave APT 201, Los Angeles, CA 90025"
"$1,249,000",3 bds,3 ba,"1,883 sqft","11803 Goshen Ave APT 101, Los Angeles, CA 90049"
"$575,000",2 bds,2 ba,922 sqft,"933 Catkin Ct, San Jose, CA 95128"
"$259,000",2 bds,2 ba,"1,270 sqft","196 Paseo Bravo, Palm Desert, CA 92211"
"$320,000",2 bds,3 ba,"1,585 sqft","38915 Paseo Corta, Murrieta, CA 92563"
"$434,900",2 bds,2 ba,"1,113 sqft","6314 Friars Rd UNIT 301, San Diego, CA 92108"
"$77,000",1 bd,1 ba,677 sqft,"21325 Lake Shore Dr APT 31, California City, CA 93505"
"$440,000",2 bds,3 ba,"2,278 sqft","6335 Via Stasera, Palm Desert, CA 92260"
"$450,000",3 bds,2 ba,"1,351 sqft","2000 S Escondido Blvd UNIT 21, Escondido, CA 92025"
"$325,000",3 bds,2 ba,"2,328 sqft","2809 Hillcrest St, Atwater, CA 95301"
"$335,000",3 bds,3 ba,"1,987 sqft","2222 S Mesa St UNIT 3, San Pedro, CA 90731"
"$450,000",3 bds,1 ba,"1,584 sqft","2001 Waudman Ave, Stockton, CA 95209"
"$375,000",2 bds,2 ba,"1,194 sqft","8892 Katella Ave UNIT A1, Anaheim, CA 92804"
"$545,000",2 bds,2 ba,"1,005 sqft","4045 Carmel View Rd UNIT 89, San Diego, CA 92130"
"$300,000",3 bds,2 ba,"1,659 sqft","1150 E Palm Canyon Dr UNIT 5, Palm Springs, CA 92264"
"$790,000",3 bds,3 ba,"1,692 sqft","350 S Norton Ave APT H, Los Angeles, CA 90020"
"$319,000",2 bds,2 ba,"1,225 sqft","520 Wilshire Ct, Chico, CA 95973"
"$549,950",3 bds,4 ba,"3,075 sqft","10019 Sunningdale Dr, Rancho Mirage, CA 92270"
"$229,000",2 bds,2 ba,"1,320 sqft","72398 Ridgecrest Ln, Palm Desert, CA 92260"
"$369,900",2 bds,1 ba,770 sqft,"2736 B St UNIT 205, San Diego, CA 92102"
"$339,000",2 bds,2 ba,840 sqft,"4855 Cole St, San Diego, CA 92117"
"$549,950",3 bds,2 ba,"1,842 sqft","4940 Topaz Ave, Rocklin, CA 95677"
"$595,000",1 bd,1 ba,447 sqft,"595 12th Ave APT 11, San Francisco, CA 94118"
"$359,900",4 bds,3 ba,"2,212 sqft","14615 Spanish Bay Way, Chowchilla, CA 93610"
"$339,000",2 bds,2 ba,916 sqft,"3041 Charwood Ct, Spring Valley, CA 91978"
"$398,000",2 bds,3 ba,969 sqft,"3902 Penn Mar Ave APT 101, El Monte, CA 91732"
"$400,000",2 bds,2 ba,"1,020 sqft","5026 Collwood Way UNIT 74, San Diego, CA 92115"
"$329,000",2 bds,2 ba,"1,166 sqft","16551 Grunion Ln #202, Huntington Beach, CA 92649"
"$624,900",2 bds,2 ba,"1,103 sqft","206 Park Blvd UNIT 703, San Diego, CA 92101"
"$589,000",2 bds,2 ba,965 sqft,"350 K St UNIT 414, San Diego, CA 92101"
"$474,000",2 bds,3 ba,"1,106 sqft","1155 S Leland St APT 1, Los Angeles, CA 90731"
"$360,000",2 bds,2 ba,"1,600 sqft","7054 Espana Dr, Riverside, CA 92504"
"$175,000",3 bds,2 ba,"1,324 sqft","1025 N Tippecanoe Ave UNIT 146, San Bernardino, CA 92410"
"$389,000",3 bds,2 ba,"1,162 sqft","2973 Janet Dr, West Sacramento, CA 95691"
"$349,000",2 bds,2 ba,973 sqft,"8609 Lake Murray Blvd UNIT 11, San Diego, CA 92119"
"$799,000",2 bds,1 ba,856 sqft,"331 Brooks Ave #4, Venice, CA 90291"
"$899,000",2 bds,2 ba,"1,572 sqft","200 Harbor Dr UNIT 901, San Diego, CA 92101"
"$355,000",2 bds,2 ba,912 sqft,"10291 Bell Gardens Dr UNIT 7, Santee, CA 92071"
"$179,000",2 bds,2 ba,885 sqft,"2700 Golf Club Dr APT 64, Palm Springs, CA 92264"
"$561,000",2 bds,2 ba,"1,171 sqft","7 Greenmoor #19, Irvine, CA 92614"
"$349,900",2 bds,2 ba,912 sqft,"9840 Shirley Gardens Dr UNIT 2, Santee, CA 92071"
"$405,000",2 bds,3 ba,"1,466 sqft","1035 Villorrio Dr N, Palm Springs, CA 92262"
