price,bedrooms,bathrooms,floorsize,city,zipcode
843900,2,3,1351,LosAngeles,90025
303900,2,1,861,SanDiego,92173
824900,2,2,1324,LosAngeles,90025
637900,3,2,1242,SolanaBeach,92075
319900,1,1,609,SanDiego,92104
494900,1,1,604,WestHollywood,90069
498900,2,2,976,Anaheim,92808
338900,2,2,915,Corona,92882
524900,3,3,1256,TrabucoCanyon,92679
419900,3,2,1052,Placentia,92870
260900,1,1,758,Roseville,95747
554900,2,2,1357,Anaheim,92808
359900,2,1,678,SanDiego,92102
404900,1,1,716,HuntingtonBeach,92648
605300,2,3,1324,Irvine,92602
387900,3,2,1014,ElCajon,92020
605900,1,1,623,PlayaVista,90094
250000,2,3,1736,LosAngeles,90731
399449,2,1,852,SanFrancisco,94105
342900,1,1,816,SantaClarita,91355
368008,2,2,1196,SanFrancisco,94134
450000,2,2,1112,StevensonRanch,91381
499000,3,2,1353,LosAngeles,91335
380000,3,2,1272,HuntingtonBeach,92649
380000,2,2,818,LosAngeles,91335
499999,2,2,1159,Irvine,92614
290776,1,1,670,SanFrancisco,94105
697900,2,2,1295,NewportBeach,92663
549000,3,2,1260,SanDiego,92110
439825,3,2,1182,SantaAna,92704
489000,2,2,1044,SanDiego,92103
469900,2,3,1330,MidwayCity,92655
374049,2,2,1231,Fremont,94555
369000,2,2,982,Pasadena,91107
169000,2,1,840,PalmDesert,92260
759900,2,2,991,LosAngeles,90024
149000,2,2,1136,LagunaWoods,92637
399900,1,1,580,LosAngeles,90020
339000,2,2,1280,Oceanside,92056
695000,2,2,1375,PebbleBeach,93953
385000,2,2,1019,LongBeach,90804
635000,2,2,1030,SantaBarbara,93111
353900,2,2,916,SpringValley,91978
589000,3,3,1267,RanchoSantaMargarita,92688
388000,2,2,1330,PalmDesert,92211
259000,2,2,1177,PalmDesert,92211
499000,3,1,1104,SanFrancisco,94110
624900,4,4,1408,Alhambra,91801
295000,3,2,1157,Palmdale,93550
428000,3,2,1431,CostaMesa,92626
385000,2,2,916,LakeForest,92630
460000,3,3,1219,ElMonte,91732
379900,2,2,1085,Anaheim,92804
675000,2,3,1638,LosAngeles,91436
388000,3,3,1245,Upland,91786
389000,3,2,1257,Anaheim,92801
689000,2,2,919,LosAngeles,90064
699000,3,3,2204,LaQuinta,92253
450000,3,2,1626,Riverside,92506
349000,2,1,910,Oxnard,93035
389900,3,2,1465,Stockton,95209
1245000,3,3,1885,LosAngeles,90025
1249000,3,3,1883,LosAngeles,90049
575000,2,2,922,SanJose,95128
259000,2,2,1270,PalmDesert,92211
320000,2,3,1585,Murrieta,92563
434900,2,2,1113,SanDiego,92108
77000,1,1,677,CaliforniaCity,93505
440000,2,3,2278,PalmDesert,92260
450000,3,2,1351,Escondido,92025
325000,3,2,2328,Atwater,95301
335000,3,3,1987,SanPedro,90731
450000,3,1,1584,Stockton,95209
375000,2,2,1194,Anaheim,92804
545000,2,2,1005,SanDiego,92130
300000,3,2,1659,PalmSprings,92264
790000,3,3,1692,LosAngeles,90020
319000,2,2,1225,Chico,95973
549950,3,4,3075,RanchoMirage,92270
229000,2,2,1320,PalmDesert,92260
369900,2,1,770,SanDiego,92102
339000,2,2,840,SanDiego,92117
549950,3,2,1842,Rocklin,95677
595000,1,1,447,SanFrancisco,94118
359900,4,3,2212,Chowchilla,93610
339000,2,2,916,SpringValley,91978
398000,2,3,969,ElMonte,91732
400000,2,2,1020,SanDiego,92115
329000,2,2,1166,HuntingtonBeach,92649
624900,2,2,1103,SanDiego,92101
589000,2,2,965,SanDiego,92101
474000,2,3,1106,LosAngeles,90731
360000,2,2,1600,Riverside,92504
175000,3,2,1324,SanBernardino,92410
389000,3,2,1162,WestSacramento,95691
349000,2,2,973,SanDiego,92119
799000,2,1,856,Venice,90291
899000,2,2,1572,SanDiego,92101
355000,2,2,912,Santee,92071
179000,2,2,885,PalmSprings,92264
561000,2,2,1171,Irvine,92614
349900,2,2,912,Santee,92071
405000,2,3,1466,PalmSprings,92262
449900,3,3,1336,Whittier,90602
299900,2,3,1109,Compton,90220
1995000,4,3,2403,SanFrancisco,94115
625000,3,2,1353,LakeArrowhead,92352
27000000,4,8,9290,LosAngeles,90067
410000,2,2,1040,LaHabra,90631
679000,3,1,874,SanFrancisco,94115
395000,2,2,820,LongBeach,90802
475000,3,3,2830,RanchoMirage,92270
310000,2,1,836,ChulaVista,91911
430647,3,2,1382,Fremont,94539
875000,2,2,1387,SanDiego,92101
699000,2,2,894,RedondoBeach,90277
270000,2,1,854,ChulaVista,91911
499900,3,4,2182,PalmDesert,92211
345000,2,1,830,LongBeach,90804
1288888,4,3,2814,Irvine,92618
879999,2,2,1249,LosAngeles,90077
615000,4,3,1993,ChulaVista,91915
735000,2,2,1106,LosAngeles,90025
275000,2,1,906,Oceanside,92057
995000,3,2,1469,ManhattanBeach,90266
533786,2,1,783,SanFrancisco,94158
799000,2,2,1123,WestHollywood,90069
218000,2,2,1165,Riverside,92506
240000,2,2,1169,Lancaster,93536
350000,2,3,1179,RanchoCucamonga,91730
334000,3,4,1560,Sacramento,95835
310000,3,2,1072,RioLinda,95673
556340,3,2,1018,PacificPalisades,90272
359900,2,2,944,Oceanside,92058
315900,2,2,952,HuntingtonPark,90255
2895000,3,2,1900,SanFrancisco,94115
379000,2,2,1595,PalmSprings,92262
299900,3,2,1428,CitrusHeights,95621
735000,3,4,1777,Irvine,92618
815000,2,2,1432,LosAngeles,90005
450000,2,3,1385,Covina,91722
450000,4,3,1278,Azusa,91702
399900,3,2,1200,SantaClarita,91350
415000,3,2,1693,RanchoMirage,92270
